epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27286.2,1.62411,4.03196,1.76939,0.61417,0.37845,0.41337,0.19453,1.51894,4.1213,1.73795,0.00124679,0.000415596,0.00124679,0.000415596,0.00124679,0.000415596,0.00124679,0.000415596
2,35716.3,1.45888,2.71308,1.57325,0.75351,0.68347,0.73901,0.36992,1.49229,3.09146,1.64965,0.00247207,0.000824023,0.00247207,0.000824023,0.00247207,0.000824023,0.00247207,0.000824023
